tt0076167|nm0790750|Shefali	
tt0076873|nm0208754|Sabina De Guida	
tt0077049|nm0591421|Oliver Mink	
tt0077053|nm0241899|Angus Duncan	
tt0077176|nm0820155|Pasquale Squitieri	
tt0077609|nm1647615|N.K. Tiwari	
tt0077772|28	
tt0078748|nm0449941|Peter Kersey	
tt0080577|nm1296321|Rudolf Olaszi	
tt0080653|nm1549868|Madhav Kadam	
tt0083137|nm2820599|Elmar Altvater	
tt0083548|nm1044251|Manuel Laghi	
tt0083949|nm0026084|Anny Andersen	
tt0084388|nm0617767|Márta Mészáros	
tt0084389|nm0549548|Gyula Marosi	
tt0084524|nm0936552|Joseph Wishy	
tt0084524|nm1590025|Muriel Balash	
tt0085114|nm0484820|Harry Landis	
tt0085240|nm0900166|Mauro Vitturini	
tt0085627|nm1142353|Martina Patacca	
tt0086190|nm0646894|Jonathan Oliver	
tt0086666|nm0973284|Hajnc Hojbaher	
tt0087023|nm0192672|Giorgio Curgone	
tt0087909|nm0557861|Federica Mastroianni	
tt0088559|nm0029410|William H. Angarola	
tt0088591|nm3094561|Mark Teirney	
tt0089519|nm2747913|Chen-Tung Wu	
tt0090040|nm0613400|Vincenzo Mura	
tt0090944|nm0211960|Riccardo De Torrebruna	
tt0091152|nm0888128|Linda Van Tulden	
tt0093112|nm0028494|Sergio Andreucci	
tt0093112|nm0046513|Robert Bagala	
tt0093112|nm0079298|Vera Bettelli	
tt0093112|nm0195640|Yuri D'Emidio	
tt0093112|nm0267851|Cesare Farnetani	
tt0093112|nm0268757|Sandra Fassio	
tt0093112|nm0270051|Antonio Fede	
tt0093112|nm0271218|Sandro Felicetti	
tt0093112|nm0557796|Maria Cristina Mastrangeli	
tt0093112|nm0600094|Donato Montillo	
tt0093112|nm0636536|Anna Notariale	
tt0093112|nm0661743|Dario Parisini	
tt0093112|nm0681534|Francesco Piccioni	
tt0093112|nm0713734|Danilo Rea	
tt0093112|nm0723209|Gabriele Ricci	
tt0093112|nm0744273|Nazareno Rossi	
tt0093112|nm0757420|Salvatore Saladini	
tt0093112|nm0768622|Chiara Sbarigia	
tt0093112|nm0797194|Lella Sieni	
tt0093112|nm0822210|Daniela Stanga	
tt0093112|nm0866502|Germana Tomassini	
tt0093112|nm0895865|Valeria Viccei	
tt0093112|nm9150291|Danilo Cipriani	
tt0093112|nm9150293|Anna Maria Zanelli	
tt0093112|nm9150295|Fausto Buono	
tt0093112|nm9150297|Antonio Russo	
tt0093112|nm9150299|Nichi Barbera	
tt0094416|nm0608926|Carlton Moss	
tt0094648|nm0309787|Giuliana Gatti	
tt0094882|nm0597229|Marianne Moloney	
tt0095212|nm0581110|Francesco Merolle	
tt0096587|nm1595105|Astrid Müller	
tt0096842|nm2877129|Cath Van Damme	
tt0097281|nm0483087|Chip Lambert	
tt0097926|nm1843196|Diljit Singh	
tt0098063|nm0557796|Maria Cristina Mastrangeli	
tt0098983|nm0639396|Melody O'Brian	
tt0098999|nm1549868|Madhav Kadam	
tt0099223|nm3581384|Robert Fox	
tt0099463|nm0081256|Andrew Bieber	
tt0099472|nm0735432|Marivi Rodriguez	
tt0099652|nm0441276|Suresh Kathuria	
tt0100156|nm0599870|Nancy Montgomery	
tt0101076|nm0385923|Rick Hinson	
tt0101337|nm0595058|Silvia Mocci	
tt0102050|nm0432723|Eberhard Junkersdorf	
tt0103152|nm0256442|Endaf Emlyn	
tt0103586|nm2794688|Paul Mixon	
tt0103609|nm2829665|Zita Habarta	
tt0103735|nm0417567|Esra Janianpour	
tt0103739|nm0098872|Karine Bouchama	
tt0103817|nm0175264|Bob Connolly	
tt0103927|nm0031553|John Antrobus	
tt0104298|nm2876451|Laurent Grisel	
tt0104655|nm0948607|Il-joo Yoon	
tt0104776|nm1144268|Anne-Laure Lermyte	
tt0105769|nm0713734|Danilo Rea	
tt0106286|nm0595058|Silvia Mocci	
tt0106984|nm0256442|Endaf Emlyn	
tt0107135|nm0069946|Mustafa Ben Mihoub	
tt0107166|nm1545351|K.N. Ramchandran	
tt0107339|nm0474599|Igor Kuljeric	
tt0107537|nm1144268|Anne-Laure Lermyte	
tt0108827|nm0598405|Balázs Monori	
tt0109162|nm2827568|Elisa Núñez	
tt0109734|nm0824438|Liam Steel	
tt0109893|nm0423189|Greg Jiritano	
tt0111205|nm0746657|Stuart Roweth	
tt0111255|nm0666226|Greg Patterson	
tt0111420|nm1256109|Carlos Reyes	
tt0111646|nm0846309|Ljubivoje Tadic	
tt0112225|nm7161399|Dean Chandler Bowden	
tt0112230|nm1364914|Tony Billy	
tt0112593|nm0231873|Cristina Donadio	
tt0112674|nm0557861|Federica Mastroianni	
tt0112690|nm0575063|Matthew Meadows	
tt0112738|nm0756580|Sainath	
tt0113189|nm0507815|Tim Lewis	
tt0113198|nm0735432|Marivi Rodriguez	
tt0113492|nm0509856|Darren Litten	
tt0113744|nm0038776|Gavin Ashcroft	
tt0113744|nm0256442	
tt0113744|nm0256442|Endaf Emlyn	
tt0113744|nm0746657|Stuart Roweth	
tt0113744|nm0780154|Rupert Scrivener	
tt0113744|nm0911679|Lara Ward	
tt0113744|nm0934896|Jakki Winfield	
tt0113744|nm1064220|Richard Ellis	
tt0113855|nm0666226|Greg Patterson	
tt0114308|nm0735432|Marivi Rodriguez	
tt0114558|nm0135570|Allen Cappuccilli	
tt0114558|nm0605110|Len Morganti	
tt0114746|nm0277400|Chuck Finch	
tt0114746|nm0841742|Jason Swanscott	
tt0114814|nm0003160|Christopher McQuarrie	
tt0114872|nm0483087|Chip Lambert	
tt0114898|nm0235710|Jason Dowdeswell	
tt0115088|nm8031233|Margent Caushi	
tt0115992|nm0681535|Giuseppe Piccioni	
tt0116250|nm0600389|Sarah Monzani	
tt0116413|nm1131061|Andrea Sottile	
tt0116728|nm2839932|David Prieto	
tt0116728|nm2840019|Ahto Aaremäe	
tt0116852|nm0660978|Parviz Parastui	
tt0117040|nm0638175|Claude Nuridsany	
tt0117060|nm0292177|Kevin Fraser	
tt0117218|nm0605110|Len Morganti	
tt0117705|nm0682732|Marco Piersma	
tt0117731|nm0469479|Daniel Kramer	
tt0118138|nm2866711|Peter Kustermans	
tt0118378|nm1602541|Thomas Schwank	
tt0118581|nm0659562|Edgar Pankey	
tt0118607|nm0524328|Juan Carlos Lucca	
tt0118661|nm0081069|Alex Bicknell	
tt0118661|nm0401773|Simon Hume	
tt0118661|nm0884305|Sara-Jane Valentine	
tt0118661|nm0929484|Simon Wilkinson	
tt0118904|nm0773890|Jon Schneider	
tt0118929|nm0236473|Peter Doyle	
tt0119055|nm0132084|Marina Campanale	
tt0119081|nm0935284|Jane Winkles	
tt0119116|nm0278014|Nick Finlayson	
tt0119133|nm2908392|Mario Roberto Galindo	
tt0119166|nm1981888|Phaibunkiat Khiaogao	
tt0119170|nm2824705|Chris Krone	
tt0119170|nm6228570|Hans Lindenmüller	
tt0119273|nm0275804|Florian Fiebig	
tt0119471|nm1109010|Till Dröscher	
tt0119630|nm0199851|Brent Daniels	
tt0119707|nm2998932|Jaime Fletcher	
tt0119949|nm0439457|Martin Karl-Wagner	
tt0119962|nm0916492|Benedict Weber	
tt0120053|nm0185484|David Cozens	
tt0120053|nm0401773|Simon Hume	
tt0120184|nm0069589|Pier Belton	
tt0120201|nm0412415|Jason Ivimey	
tt0120423|nm0746657|Stuart Roweth	
tt0120436|nm0134591|Roger Cantin	
tt0120602|nm0763918|Nick Santor	
tt0120647|nm0412415|Jason Ivimey	
tt0120667|nm0171235|Tim Coleman	
tt0120680|nm0094865|James Bonnell	
tt0120738|nm0003454|Gary Hutchings	
tt0120738|nm0277468|Wick Finch	
tt0120738|nm0581149|Billy Merrell	
tt0120786|nm0609864|Leonard Mountain Chief	
tt0120800|nm2839390|Aavi Levin	
tt0120800|nm2840019|Ahto Aaremäe	
tt0120912|nm1155378|Karl Herbst	
tt0120915|nm2333237|Rob Dunbar	
tt0120915|nm4156409|Oliver Allen-Wielebnowski	
tt0120915|nm4415698|Joseph Murad	
tt0120999|nm0667277|Andreas Pauls	
tt0121637|nm2634640|Chi-Sheng Tse	
tt0121765|nm1540018|Grace Lan	
tt0121765|nm4685655|Jeremy Bazin	
tt0121766|nm1190946|Juan-Luis Sanchez	
tt0121766|nm1330034|Hideki Arichi	
tt0122076|nm0547845|Stephen Marino	
tt0122161|nm1124493|Jerry J. Kohn	
tt0122512|nm0613400|Vincenzo Mura	
tt0122578|nm0844594|Gloria Sáez	
tt0122956|nm0069946|Mustafa Ben Mihoub	
tt0122956|nm0159364|Yamina Bachir	
tt0123371|nm1289710|Rob Ffiske	
tt0123868|nm3852913|Mario Fornaciari	
tt0124610|nm2767638|Jeff Rasken	
tt0125078|nm0773890|Jon Schneider	
tt0125099|nm1662613|Farideh Sepah Mansour	
tt0125269|nm0939223|Linda Wong	
tt0127113|nm1169883|Vicky Lindsay	
tt0127361|nm0298961|Robert Furlong	
tt0129023|nm0094865|James Bonnell	
tt0129136|nm0298961|Robert Furlong	
tt0129414|nm0029410|William H. Angarola	
tt0129414|nm0232777	
tt0129414|nm0385923|Rick Hinson	
tt0129414|nm0597229|Marianne Moloney	
tt0129414|nm0639844	
tt0129414|nm0639844|Tim O'Brien	
tt0129414|nm0818670|Raymond E. Spiess III	
tt0129414|nm0841609|Mark Swan	
tt0129414|nm1289710|Rob Ffiske	
tt0129414|nm1364914|Tony Billy	
tt0129414|nm1365049|Tony LePage	
tt0129414|nm2626404|Toby Stallworthy	
tt0129414|nm2628196|Dang Huy Kim	
tt0129414|nm2631974|Guillermo Mosquira	
tt0129414|nm2634643|Thanh Bui Van	
tt0129414|nm3094561|Mark Teirney	
tt0129685|nm0760643|Alfonso San Félix	
tt0130348|nm1586910|Roy	
tt0130357|nm0743990|Erich Rossel	
tt0131466|nm0955230|Willy Zeunert	
tt0133024|nm1040429|Kamaldeep	
tt0133152|nm0277400|Chuck Finch	
tt0133152|nm0522669|Jeremy Lovett	
tt0133152|nm0581154|Richard Merrell	
tt0133152|nm0859424|Richard Thomas	
tt0134188|nm0586283|Kersti Miilen	
tt0135697|nm0293297|Bee Freeman	
tt0135835|nm0561448|Jacques Mawart	
tt0136216|nm1901737|Margot Boerbes	
tt0136928|nm0939223|Linda Wong	
tt0138414|nm0062389|Carolyn Baeumler	
tt0138689|nm1258141|Ruben Pena	
tt0138749|nm2516919|Craig Simpson	
tt0139003|nm1576518|Teresa	
tt0139339|nm0156304|'Slick' Chester	
tt0139339|nm0426243|Sol Johnson	
tt0139339|nm0566480|Pearl McCormack	
tt0139339|nm0584778	
tt0139339|nm0608926|Carlton Moss	
tt0139339|nm0666393|Sam Patterson	
tt0139447|nm0315905|Nabendu Ghosh	
tt0140379|nm1132664|Claudio Lattes	
tt0141721|nm0216123|André Delage	
tt0141842|nm0818679|Ray Spiess	
tt0142215|nm0496212|Jérôme Leclerc-Couture	
tt0143145|nm0613089|Angus Munro	
tt0144214|nm0106646|Dennis Bredow	
tt0144731|nm0160448|Bill Christmas	
tt0145463|nm1062540	
tt0145487|nm0353926|Kee-Suk 'Ken' Hahn	
tt0145487|nm0807601|Carey Smith	
tt0145551|157	
tt0145551|nm0066886	
tt0145551|nm0066886|Wayne Behar	
tt0145551|nm0091798|Paul Boghosian	
tt0145551|nm0094865|James Bonnell	
tt0145551|nm0190253|Armando Cruz	
tt0145551|nm0284655|Carlos Esteban Fonseca	
tt0145551|nm0297464|Rafael Fuentes	
tt0145551|nm0306247|Juan Carlos García	
tt0145551|nm0332738|Cristina Gout	
tt0145551|nm0483087|Chip Lambert	
tt0145551|nm0524328|Juan Carlos Lucca	
tt0145551|nm0553744|Vilma Martinez	
tt0145551|nm0599870|Nancy Montgomery	
tt0145551|nm0741046|Juan B. Rosario	
tt0145551|nm0763918|Nick Santor	
tt0145551|nm0773890|Jon Schneider	
tt0145551|nm0844594|Gloria Sáez	
tt0145551|nm0871358|Hector Travieso	
tt0145551|nm1103944|Justo Monzón	
tt0145551|nm1124493|Jerry J. Kohn	
tt0145551|nm1247060|Daniel J. McNamara	
tt0145551|nm1255476|Orlando Rivera	
tt0145551|nm1256109|Carlos Reyes	
tt0145551|nm1256174|Armando Cruz	
tt0145551|nm1256178|Pablo Diaz	
tt0145551|nm1256222|Francisco Medina	
tt0145551|nm1256239|José Rios	
tt0145551|nm1256242|Alejandro Santiago	
tt0145551|nm1256749|Hector Chaparro	
tt0145551|nm1256802|Socorro Cohen	
tt0145551|nm1256811|Ruth Colom	
tt0145551|nm1256899|Steven Darancelle	
tt0145551|nm1257177|José Luis Fuentes	
tt0145551|nm1257265|Ignacio 'Nacho' Gonzales	
tt0145551|nm1257410|Sherwood 'Shag' Hunter	
tt0145551|nm1257793|Vanessa Mangual	
tt0145551|nm1258002|Jon Nakagawa	
tt0145551|nm1258105|Hector Ivan Padua	
tt0145551|nm1258141|Ruben Pena	
tt0145551|nm1258149|Feliz Perez	
tt0145551|nm1258446|Murray Schultz	
tt0145551|nm1258642|Howard Tejeda	
tt0145551|nm1258743|Edwin Vasquez Torres	
tt0145551|nm1258765|Tania Villalon	
tt0145551|nm1259399|Eric Fellen	
tt0145551|nm1259467|Miguel A. Lopez	
tt0145551|nm1259500|Deann Nelson	
tt0145551|nm1259524|Maria Rapoport	
tt0145551|nm1259531|Maribel Rios	
tt0145551|nm1259546|Fred Sanford	
tt0145551|nm1275371|Mara Diaz	
tt0145551|nm1277845|Michele Vogel	
tt0145551|nm1303414|Raúl Ferrer	
tt0146316|nm0121354|Steve Burgess	
tt0147811|nm2893555|Ramnath S. Iyer	
tt0148031|nm1247060|Daniel J. McNamara	
tt0148103|nm0496212|Jérôme Leclerc-Couture	
tt0149261|nm0446336|Diane Kingston	
tt0149966|nm1158533|Asim Bukva	
tt0154009|nm2835385|Tessie Lynn	
tt0154265|nm0025629	
tt0154265|nm0025629|Vijay Anand	
tt0154265|nm0710206|Ranjan	
tt0154265|nm0762779	
tt0154265|nm0762779|Suraj Sanim	
tt0154265|nm0790660|Sheela	
tt0154265|nm0790750|Shefali	
tt0154265|nm0814113|Somnath Rangroo	
tt0154265|nm1263703|Latif	
tt0154265|nm1464043|Jaswant	
tt0154265|nm1539646|Jezebel	
tt0154265|nm1545351|K.N. Ramchandran	
tt0154265|nm1557097|Kadar R. Khan	
tt0154265|nm1569056|Ravi Berry	
